Student_ID,College_Tier,Department,CGPA,Gender,Attendance_%,Sessions_Attended,Login_Frequency,Time_Spent_Hours,Active_Days,Videos_Watched,Video_Completion_%,Quizzes_Attempted,Quiz_Score,Doubts_Raised,Doubts_Resolved,Hackathons,Workshops,Placement_Status
0,3,ECE,9.24,Female,79,66,3,23,4,183,75,7,67,17,6,4,0,1
1,4,ECE,7.47,Female,76,169,6,38,4,55,32,38,52,13,6,0,5,0
2,1,Civil,5.98,Female,79,96,1,4,3,189,93,5,41,0,5,2,6,1
3,3,CSE,8.68,Male,72,153,5,36,4,52,43,13,80,3,17,0,7,1
4,3,Mechanical,7.09,Male,64,103,2,29,6,112,43,33,52,1,13,4,4,1
5,4,Mechanical,7.97,Male,56,136,2,22,4,197,65,44,80,6,4,3,8,1
6,1,Civil,5.54,Female,96,136,6,6,2,16,77,45,44,19,4,2,4,1
7,1,Civil,8.16,Female,90,22,6,7,4,12,88,7,49,18,15,4,6,1
8,3,Mechanical,6.87,Male,42,43,2,13,1,192,63,46,74,5,12,2,3,0
9,2,Mechanical,6.67,Female,57,195,3,33,4,146,93,22,48,5,4,4,4,0
10,3,CSE,9.9,Female,82,54,2,4,6,13,40,14,59,12,16,1,7,1
11,3,Civil,7.16,Male,93,162,3,17,6,34,53,24,86,0,1,4,8,1
12,3,CSE,8.39,Female,46,29,1,30,3,76,70,24,82,11,5,2,7,0
13,3,Civil,8.14,Female,64,79,4,25,6,117,59,40,81,18,15,3,1,0
14,4,Civil,5.52,Male,85,98,3,2,6,169,66,48,49,3,5,1,9,0
15,1,CSE,8.74,Female,54,47,2,27,5,176,95,19,73,6,15,0,0,1
16,4,ECE,6.62,Female,49,104,3,2,2,57,62,16,93,10,13,4,9,0
17,4,ECE,8.99,Male,55,41,6,17,3,75,89,38,44,19,7,1,2,1
18,4,ECE,8.04,Female,65,80,2,24,5,97,56,22,75,11,17,1,4,1
19,3,Civil,6.59,Female,60,197,2,19,2,96,77,18,83,4,9,2,6,0
20,2,CSE,6.78,Male,99,172,1,22,3,139,39,45,54,13,3,4,3,1
21,1,ECE,8.66,Female,49,173,4,2,6,99,70,47,54,15,9,1,4,1
22,2,Mechanical,7.75,Female,50,112,3,31,6,109,83,7,86,1,16,3,0,0
23,4,ECE,8.34,Female,86,68,2,32,4,82,33,34,60,4,0,4,0,1
24,4,CSE,5.79,Female,59,105,2,10,4,64,69,16,93,2,4,4,2,1
25,2,Civil,8.93,Male,73,70,1,3,6,70,60,11,55,11,8,4,7,1
26,2,CSE,6.6,Female,78,149,3,29,2,123,80,31,69,16,18,0,6,0
27,2,Civil,8.1,Male,59,177,3,36,1,61,67,16,69,1,11,4,7,0
28,4,CSE,5.57,Female,89,160,6,2,1,85,57,8,78,14,10,1,1,1
29,4,CSE,6.61,Male,52,113,2,25,2,123,41,30,70,9,15,3,8,1
30,1,Mechanical,8.24,Female,62,25,6,14,6,47,64,14,95,7,6,3,9,0
31,1,ECE,6.37,Male,53,109,3,11,3,49,41,22,98,18,7,0,3,1
32,4,ECE,9.4,Female,67,56,2,19,5,157,42,43,97,10,14,0,5,0
33,2,CSE,8.31,Female,81,172,2,32,2,115,78,9,94,12,4,0,9,0
34,2,ECE,9.35,Female,62,90,4,8,2,37,63,9,96,19,5,2,8,1
35,1,Mechanical,6.98,Male,79,119,1,28,6,190,62,22,58,15,6,1,6,1
36,4,CSE,5.17,Female,43,132,6,13,6,121,50,12,57,10,6,2,4,1
37,1,ECE,7.88,Female,73,14,4,32,5,161,66,8,61,9,17,4,8,1
38,1,ECE,6.7,Male,87,133,4,8,3,74,44,15,74,8,5,2,8,1
39,3,Civil,7.24,Male,73,196,1,14,4,29,90,23,42,0,3,0,2,0
40,3,ECE,8.41,Female,99,172,1,6,5,69,81,44,65,11,2,1,6,1
41,3,ECE,8.5,Female,58,13,4,34,1,170,46,38,96,2,9,1,5,0
42,2,Civil,5.14,Female,65,77,2,2,2,28,73,11,75,8,16,4,6,0
43,4,CSE,8.85,Female,50,99,3,38,1,101,45,35,89,0,14,2,0,0
44,4,CSE,7.47,Male,69,90,3,34,3,25,42,9,76,3,19,3,8,1
45,4,Mechanical,7.78,Male,57,97,1,11,6,150,31,28,84,16,16,3,1,0
46,4,Civil,6.49,Male,69,42,5,22,1,11,47,43,55,17,18,4,1,1
47,3,CSE,7.1,Male,57,76,3,21,1,80,39,24,58,17,17,0,8,1
48,2,ECE,8.55,Female,97,149,5,28,3,47,62,14,67,14,9,0,0,1
49,2,ECE,8.88,Female,50,180,3,32,1,59,73,8,94,5,18,1,6,1
50,3,ECE,6.94,Male,41,153,6,8,1,13,69,8,68,14,3,3,6,0
51,2,Mechanical,8.46,Female,58,29,1,26,6,28,78,43,84,18,6,2,5,1
52,3,CSE,6.29,Male,60,72,1,22,6,128,40,47,43,4,10,3,2,1
53,4,Civil,9.16,Male,99,107,3,17,3,163,96,47,54,10,15,2,2,0
54,3,CSE,8.05,Female,98,72,1,25,5,91,81,7,77,3,10,1,5,1
55,4,Civil,8.88,Male,56,14,2,30,3,29,68,16,96,15,17,3,8,0
56,4,Civil,7.39,Female,73,17,6,33,5,36,31,22,60,17,1,0,7,0
57,1,CSE,6.15,Male,83,155,2,23,3,84,78,17,61,13,9,1,5,0
58,3,ECE,7.15,Male,87,159,4,9,4,133,81,39,90,0,2,3,6,0
59,1,ECE,6.91,Male,54,168,2,14,1,118,60,27,46,1,15,1,1,1
