Student_ID,College,College_Tier,Department,CGPA,Gender,Program_Type,Attendance_%,Sessions_Attended,Sessions_Missed,Weekly_Consistency_Score,Login_Frequency,Time_Spent_Hours,Active_Days_Per_Week,Session_Duration_Avg,Videos_Watched,Video_Completion_%,Rewatch_Rate,Notes_Taken,Quizzes_Attempted,Quiz_Submission_Rate,Avg_Quiz_Score,Assignment_Submissions,On_Time_Submission_%,Doubts_Raised,Doubts_Resolved,Doubt_Response_Time,Peer_Discussion_Count,Hackathons_Attended,Workshops_Attended,Live_Sessions_Joined,Project_Demo_Events,Skills_Learned_Count,Domain_Transition,Project_Completion_Rate,Placement_Status,Job_Inquiries,Leads_Generated
STU001,ABC Engineering,Tier-2,CSE,8.5,Male,B.Tech,92,46,4,9.2,6,22,5,78,85,91,0.15,Yes,18,95,82,17,94,12,11,2.1,15,3,4,8,2,14,Yes,88,Placed,5,3
STU002,XYZ College,Tier-3,ECE,7.2,Female,B.Tech,75,37,13,6.8,4,12,4,65,52,68,0.08,No,10,78,61,9,72,4,3,5.4,6,1,2,4,0,7,No,61,Not Placed,1,0
STU003,PQR Institute,Tier-1,CSE,9.1,Male,M.Tech,96,48,2,9.7,7,28,6,92,110,96,0.22,Yes,24,98,91,23,98,18,17,1.2,22,4,5,10,3,18,Yes,96,Placed,8,5
STU004,LMN University,Tier-2,IT,7.8,Female,B.Tech,83,41,9,7.9,5,16,4,71,68,79,0.11,Yes,14,86,72,13,83,8,7,3.2,10,2,3,6,1,10,No,74,Placed,3,2
STU005,ABC Engineering,Tier-2,MECH,6.4,Male,B.Tech,55,27,23,4.1,2,6,2,42,28,41,0.04,No,5,52,38,4,48,1,0,9.8,2,0,0,1,0,3,No,32,Not Placed,0,0
STU006,DEF College,Tier-3,CSE,7.5,Female,B.Tech,78,39,11,7.2,4,14,4,68,61,74,0.09,Yes,12,81,68,11,79,6,5,4.1,8,1,2,5,1,9,No,68,Not Placed,2,1
STU007,GHI Institute,Tier-1,AI/ML,9.4,Male,M.Tech,98,49,1,9.9,7,31,7,98,125,99,0.28,Yes,28,100,95,27,100,22,22,0.8,28,5,6,12,4,22,Yes,99,Placed,10,7
STU008,JKL University,Tier-2,CSE,8.1,Female,B.Tech,88,44,6,8.6,6,19,5,81,79,88,0.13,Yes,16,91,79,15,91,10,9,2.5,13,2,4,7,2,12,Yes,84,Placed,4,3
STU009,MNO College,Tier-3,EEE,6.8,Male,B.Tech,62,31,19,5.2,2,8,2,51,38,53,0.05,No,7,61,44,5,55,2,1,8.2,3,0,1,2,0,4,No,41,Not Placed,0,0
STU010,PQR Institute,Tier-1,DS,8.9,Female,M.Tech,94,47,3,9.4,7,26,6,88,102,94,0.19,Yes,22,97,88,21,96,16,15,1.5,20,3,5,9,3,17,Yes,93,Placed,7,4
STU011,ABC Engineering,Tier-2,CSE,7.3,Male,B.Tech,71,35,15,6.4,3,11,3,61,48,65,0.07,No,9,72,57,8,68,3,2,6.1,5,1,1,3,0,6,No,57,Not Placed,1,0
STU012,XYZ College,Tier-3,CIVIL,6.1,Female,B.Tech,48,24,26,3.6,1,4,1,35,18,32,0.02,No,3,38,28,2,35,0,0,12.5,1,0,0,0,0,2,No,22,Not Placed,0,0
STU013,DEF College,Tier-3,IT,7.6,Male,B.Tech,80,40,10,7.5,4,15,4,70,64,77,0.1,Yes,13,83,70,12,81,7,6,3.8,9,1,2,5,1,9,No,71,Placed,2,1
STU014,GHI Institute,Tier-1,CSE,8.7,Female,B.Tech,91,45,5,9,6,24,5,85,92,93,0.17,Yes,20,96,85,19,95,14,13,1.8,18,3,4,8,2,15,Yes,91,Placed,6,4
STU015,JKL University,Tier-2,MECH,7,Male,B.Tech,65,32,18,5.6,3,9,3,55,42,58,0.06,No,8,65,49,6,61,2,1,7.4,4,0,1,2,0,5,No,46,Not Placed,0,0
STU016,MNO College,Tier-3,CSE,8,Female,B.Tech,85,42,8,8.2,5,17,5,74,72,82,0.12,Yes,15,88,75,14,86,9,8,2.8,12,2,3,6,1,11,Yes,78,Placed,3,2
STU017,PQR Institute,Tier-1,AI/ML,9.6,Male,M.Tech,99,49,1,9.9,7,33,7,99,132,99,0.31,Yes,29,100,97,28,100,24,24,0.6,30,5,6,12,4,23,Yes,100,Placed,11,8
STU018,LMN University,Tier-2,ECE,7.4,Female,B.Tech,74,37,13,6.7,3,12,3,63,50,66,0.08,No,10,76,59,9,71,4,3,5.6,6,1,1,4,0,7,No,59,Not Placed,1,0
STU019,ABC Engineering,Tier-2,CSE,8.3,Male,B.Tech,89,44,6,8.8,6,21,5,82,83,90,0.14,Yes,17,93,81,16,93,11,10,2.3,16,3,4,8,2,13,Yes,86,Placed,5,3
STU020,XYZ College,Tier-3,IT,6.7,Female,B.Tech,59,29,21,4.8,2,7,2,47,31,47,0.04,No,6,56,41,4,51,1,0,9.1,2,0,0,1,0,3,No,36,Not Placed,0,0
STU021,DEF College,Tier-3,CSE,7.9,Male,B.Tech,82,41,9,7.8,5,16,4,72,67,80,0.11,Yes,14,85,73,13,84,8,7,3.3,10,1,2,6,1,10,No,75,Placed,2,1
STU022,GHI Institute,Tier-1,DS,9.2,Female,M.Tech,97,48,2,9.8,7,29,6,94,115,97,0.23,Yes,25,99,92,24,99,19,18,1.1,24,4,5,10,3,19,Yes,97,Placed,9,6
STU023,JKL University,Tier-2,MECH,6.5,Male,B.Tech,57,28,22,4.3,2,6,2,44,29,43,0.04,No,5,53,39,3,49,1,0,10.2,2,0,0,1,0,3,No,33,Not Placed,0,0
STU024,MNO College,Tier-3,EEE,7.1,Female,B.Tech,68,34,16,6,3,10,3,57,44,61,0.07,No,9,69,52,7,64,3,2,6.8,5,0,1,3,0,5,No,49,Not Placed,1,0
STU025,PQR Institute,Tier-1,CSE,8.8,Male,B.Tech,93,46,4,9.3,7,25,6,87,98,95,0.18,Yes,21,97,87,20,97,15,14,1.6,19,3,5,9,3,16,Yes,92,Placed,7,4
STU026,LMN University,Tier-2,AI/ML,8.6,Female,M.Tech,90,45,5,9.1,6,23,5,84,90,92,0.16,Yes,19,95,84,18,95,13,12,2,17,3,4,8,2,14,Yes,90,Placed,6,3
STU027,ABC Engineering,Tier-2,IT,7.2,Male,B.Tech,72,36,14,6.5,3,11,3,62,49,66,0.07,No,10,74,58,8,69,3,2,5.9,5,1,1,3,0,6,No,56,Not Placed,1,0
